Class Level1|Class Level2|Product Family|Product Number|Product Description|Manufacturer|Manufacturer Product Number|Minimum Order Quantity|Multiple Order Quantity|List Price|HCPC|RXTYPE|Most Popular|Focus 600|Latex Free|Base UoM|Sales UoM|Case Packaging|HCPC Documents|HRE Documents|LRE Documents|MSD Sheets|Marketing Documents|Primary Documents|Videos|Detailed Product Description|Product Web Description|Corp Designation|Product Division|Substitute Material 1|Substitution Code 1|Substitute Material 2|Substitution Code 2|Substitute Material 3|Substitution Code 3|EAN/UPC Code|EAN Category|Dimensions|Gross Weight|Unit Weight|Parent Material|
Excluded Items|Custom Items|Custom Items|00-400616J|THORACENTESIS TRAY|MEDLINE|00-400616J|0.000EA|1.000CS|3279.09 ||RV|||Yes|EA|CS|23 Each / Case||||||||||CTM|22|||||||||1.619LB, 0.293CF PER CS|1.619 |LB|00-400616J|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Biopsy Packs/Trays|00-400762H|BIOPSY PACK|MEDLINE|00-400762H|0.000EA|1.000CS|798.87 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|10 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money<br /></li><li> Single use toprevent cross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10080196000166|Z1|2.500LB, 0.496CF PER CS|2.500 |LB|00-400762H|
Excluded Items|Custom Items|Custom Items|00-400830S|SPECIAL PROCEDURE PACK  X-RAY|MEDLINE|00-400830S|0.000EA|1.000CS|290.29 ||RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||||6.150LB, 1.134CF PER CS|6.150 |LB|00-400830S|
Excluded Items|Custom Items|Custom Items|00-400832P|BIOPSY PROCEDURE PACK|MEDLINE|00-400832P|0.000EA|1.000CS|875.04 ||RV|||Yes|EA|CS|29 Each / Case||||||||||CTM|22|||||||10195327138981|Z1|1.235 LB, CF PER CS|1.235 |LB|00-400832P|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angiography Drape Pack|00-400863J|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-400863J|0.000EA|1.000CS|443.07 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|4 Each / Case|||||||||<ul><li> Custom drape pack special for angiographies</li><li> Soft and drapable for comfort and ease ofuse</li></ul>|CTM|22|||||||10889942332243|Z1|6.524LB, 1.132CF PER CS|6.524 |LB|00-400863J|
Excluded Items|Custom Items|Custom Items|00-401027G|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401027G|0.000EA|1.000CS|1453.00 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|8 Each / Case||||||||||CTM|22|||||||10889942764761|Z1|5.040LB, 0.755CF PER CS|5.040 |LB|00-401027G|
Excluded Items|Custom Items|Custom Items|00-401030S|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401030S|0.000EA|1.000CS|493.78 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|||||||10889942850181|Z1|5.835LB, 0.936CF PER CS|5.835 |LB|00-401030S|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angiography Drape Pack|00-401178D|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401178D|0.000EA|1.000CS|437.49 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|6 Each / Case|||||||||<ul><li> Custom drape pack special for angiographies</li><li> Soft and drapable for comfort and ease ofuse</li></ul>|CTM|22|NOXREF|XREF|||||10884389000199|Z1|4.720LB, 0.614CF PER CS|4.720 |LB|00-401178D|
Excluded Items|Custom Items|Custom Items|00-401185Q|NORTON CHILDRENS CATH LAB-LF|MEDLINE|00-401185Q|0.000EA|1.000CS|601.87 ||RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10193489489088|Z1|8.955LB, 0CF PER CS|9.620 |LB|00-401185Q|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angio Procedure Pack|00-401189I|ANGIO PROCEDURE PACK|MEDLINE|00-401189I|0.000EA|1.000CS|298.09 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10884389000205|Z1|4LB, 1.023CF PER CS|4.000 |LB|00-401189I|
Excluded Items|Discontinued Products|Discontinued Products|00-401226L|DBD-ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401226L|0.000EA|1.000CS|380.96 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|NOSUB|Z007|||||10195327348502|Z1|5.802 LB, CF PER CS|5.802 |LB|00-401226L|
Excluded Items|Custom Items|Custom Items|00-401318M|ANGIOGRAPHY DRP PK PEDI CATH|MEDLINE|00-401318M|0.000EA|1.000CS|373.89 ||RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10193489348750|Z1|5.482LB, 0CF PER CS|5.482 |LB|00-401318M|
Excluded Items|Custom Items|Custom Items|00-401327AC|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401327AC|0.000EA|1.000CS|467.87 ||RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|||||||10195327195212|Z1|6.851 LB, CF PER CS|6.851 |LB|00-401327AC|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Pacemaker Pack|00-401521F|PACEMAKER TRAY|MEDLINE|00-401521F|0.000EA|1.000CS|281.00 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|||||||10884389422922|Z1|3.990LB, 0.632CF PER CS|3.960 |LB|00-401521F|
Excluded Items|Custom Items|Custom Items|00-401525G|FEMORAL PACK|MEDLINE|00-401525G|0.000EA|1.000CS|626.89 ||RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|||||||||6.419LB, 1.051CF PER CS|6.419 |LB|00-401525G|
Excluded Items|Custom Items|Custom Items|00-401585M|PROCEDURE PACK-LF|MEDLINE|00-401585M|0.000EA|1.000CS|872.16 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|43 Each / Case||||||||||CTM|22|||||||||0.591LB, 0.089CF PER CS|0.591 |LB|00-401585M|
Excluded Items|Custom Items|Custom Items|00-401594S|CORONARY ANGIO PACK-LF|MEDLINE|00-401594S|0.000EA|1.000CS|1108.93 ||RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10193489464665|Z1|7.561LB, 0CF PER CS|7.561 |LB|00-401594S|
Excluded Items|Custom Items|Custom Items|00-401610J|CATH LAB TRAY|MEDLINE|00-401610J|0.000EA|1.000CS|485.56 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10889942731640|Z1|8.062LB, 0.922CF PER CS|8.062 |LB|00-401610J|
Excluded Items|Custom Items|Custom Items|00-401620J|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-401620J|0.000EA|1.000CS|286.31 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10889942938308|Z1|3.378LB, 0.596CF PER CS|3.378 |LB|00-401620J|
OR & Surgery Supplies|Sterile Procedure Packs|Custom PICC Packs|00-401649G|DBD-PUNTURE TRAY|MEDLINE|00-401649G|0.000EA|1.000CS|207.60 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case|||||||||<ul><li> Helps reduce the risk of bloodstream infections while improving comfort for patients and ease of use forclinicians<br /></li><li> Easy-to-read depth markings on catheter; reduced taper for ease of insertion<br/></li><li> CT power injectable up to 300 PSI<br /></li><li> Durable polyurethane construction iscompatible with iodine and alcohol<br /></li><li> Bundle includes 1 Tru-Swab connector per lumen, gowns, gloves,Chloraprep, drapes, and everything else necessary for insertion</li></ul>|CTM|22|NOSUB|Z007|||||10884389000267|Z1|1.400LB, 0.258CF PER CS|1.400 |LB|00-401649G|
Excluded Items|Custom Items|Custom Items|00-401724L|CARDIAC CATH PACK|MEDLINE|00-401724L|0.000EA|1.000CS|379.29 ||RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10193489406986|Z1|8.057LB, 0CF PER CS|8.057 |LB|00-401724L|
OR & Surgery Supplies|Sterile Procedure Packs|Custom PTCA Pack|00-401800C|DBD-PTCA PACK|MEDLINE|00-401800C|0.000EA|1.000CS|670.91 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|20 Each / Case||||||||||CTM|22|NOSUB|Z007|||||10884389226803|Z1|1.190LB, 0.269CF PER CS|1.190 |LB|00-401800C|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Neuro SPT|00-401808S|IR NEURO INTERVENTIONAL PACK|MEDLINE|00-401808S|0.000EA|1.000CS|454.47 ||RV|||Yes|EA|CS|3 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|||||||||6.618LB, 1.134CF PER CS|6.618 |LB|00-401808S|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angio Procedure Pack|00-401810B|PACK,PROCEDURE,ANGIO|MEDLINE|00-401810B|0.000EA|1.000CS|211.16 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10884389000311|Z1|4.090LB, 1.075CF PER CS|4.090 |LB|00-401810B|
Excluded Items|Custom Items|Custom Items|00-401824AA|ANGIO PROCEDURE PACK|MEDLINE|00-401824AA|0.000EA|1.000CS|561.38 ||RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|||||||10193489455885|Z1|5.973LB, 0CF PER CS|5.973 |LB|00-401824AA|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Cath Lab Packs|00-401880I|LEFT HEART TRAY|MEDLINE|00-401880I|0.000EA|1.000CS|470.58 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|6 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10884389082652|Z1|5.120LB, 0.852CF PER CS|5.120 |LB|00-401880I|
Excluded Items|Custom Items|Custom Items|00-401893L|EP LAB PACEMAKER PACK|MEDLINE|00-401893L|0.000EA|1.000CS|402.07 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|4 Each / Case||||||||||CTM|22|||||||10195327127886|Z1|6.173 LB, CF PER CS|6.173 |LB|00-401893L|
Excluded Items|Custom Items|Custom Items|00-401993N|PICC LINE TRAY|MEDLINE|00-401993N|0.000EA|1.000CS|729.51 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|8 Each / Case||||||||||CTM|22|||||||10889942892488|Z1|4.286LB, 0.691CF PER CS|4.286 |LB|00-401993N|
Excluded Items|Custom Items|Custom Items|00-402001T|ARTERIOGRAM TRAY|MEDLINE|00-402001T|0.000EA|1.000CS|867.69 ||RV|||Yes|EA|CS|6 Each / Case||||||||||CTM|22|||||||10193489939682|Z1|6.640 LB, CF PER CS|6.640 |LB|00-402001T|
Excluded Items|Custom Items|Custom Items|00-500502L|CARDIAC CATH PACK|MEDLINE|00-500502L|0.000EA|1.000CS|373.76 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|2 Each / Case||||||||||CTM|22|||||||10888277745629|Z1|8.444LB, 1.841CF PER CS|9.100 |LB|00-500502L|
Excluded Items|Custom Items|Custom Items|00-500510F|ADVANTEC-MLD|MEDLINE|00-500510F|0.000EA|1.000CS|390.76 ||RV|||Yes|EA|CS|1 Each / Case||||||||||CTM|22|||||||10195327195359|Z1|26.588 LB, CF PER CS|26.588 |LB|00-500510F|
Excluded Items|Discontinued Products|Discontinued Products|00-55T|DBD-TAP, FOR ANCHOR, 5.5MM|MARUHO MEDICAL INC|00-55T|1.000EA|1.000EA|466.67 ||OV|||Yes|EA|EA|1 Each / Each||||||||||CTM|42|NOSUB|Z007|||||||0.250LB, 0.042CF PER|0.250 |LB|00-55T|
Excluded Items|Custom Items|Custom Items|00-HCT055P|CATH LAB PACK-LF|MEDLINE|00-HCT055P|0.000EA|1.000CS|1163.31 ||RV||||EA|CS|4 Each / Case||||||||||CTM|22|||||||10193489297393|Z1|5.850LB, 0.659CF PER CS|5.850 |LB|00-HCT055P|
Excluded Items|Custom Items|Custom Items|00-HCT098M|DBD-CARDIAC CATH PACK|MEDLINE|00-HCT098M|0.000EA|1.000CS|670.62 ||RV|||Yes|EA|CS|8 Each / Case||||||||||CTM|22|NOSUB|Z007|||||10195327170431|Z1|4.120 LB, CF PER CS|4.120 |LB|00-HCT098M|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Arterial Special Procedure Pack|00-QG7623B|SPECIAL PROCEDURE TRAY|MEDLINE|00-QG7623B|0.000EA|1.000CS|220.87 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|20 Each / Case||||||||||CTM|22|NOXREF|XREF|||||10080196000418|Z1|0.750LB, 0.119CF PER CS|0.750 |LB|00-QG7623B|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Cath Lab Packs|00-RDF036N|DBD-SPECIAL PROCEDURE TRAY|MEDLINE|00-RDF036N|0.000EA|1.000CS|490.29 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|||||EA|CS|5 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|NOSUB|Z007|||||10888277542624|Z1|6.260LB, 1.106CF PER CS|6.260 |LB|00-RDF036N|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Packs|00-RDF036O|CATH LAB SPECIAL PROCEDURE|MEDLINE|00-RDF036O|0.000EA|1.000CS|631.71 ||RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10195327195618|Z1|6.283 LB, CF PER CS|6.300 |LB|00-RDF036O|
Respiratory|Oxygen Therapy|Aquapak Prefilled Bubble Humidifiers by|000-40|AQUAPAK ADAPTER,ALARM,ADAPTER ONLY,OUS|MEDLINE|000-40|0.000EA|1.000CS|349.69 ||RV|||Yes|EA|CS|120 Each / Case||http://www.medline.com/media/catalog/sku/000/D1200012663356714_060520231259.jpg||||http://www.medline.com/media/catalog/sku/000/D1200012663356710_060520231259.jpg|||<ul><li> Prefilled humidifiers are supplied with a sterile water reservoir bottle</li><li> Features amicro-diffuser that produces small bubbles and surface agitation for quiet operation and high humidity output</li><li>Humidifier Adapter HUD00040, included on some models and also sold separately, incorporates an audible alarm to alert clinicians toflow restriction or occlusion of humidifier or tubing</li><li> Reservoir bottle has built-in oxygen tubingconnectors</li></ul>||35|||||||10197344007479|Z1|0.001 LB, CF PER CS|0.039 |LB|HUD00040|
Excluded Items|European/International Items|European/International Items|000-40F|AQUAPAK ADAPTER,ALARM,ADAP ONLY,OUS,FRA|MEDLINE|000-40F|0.000EA|1.000CS|237.80 ||RV|||Yes|EA|CS|120 Each / Case|||||||||||35|||||||||0.001 LB, CF PER CS|0.039 |LB|000-40F|
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|1000|O2 MASK,REBREATH,SHORT,PEDI,7' TUB SC|MEDLINE|1000|0.000EA|1.000CS|108.73 ||RV|||Yes|EA|CS|50 Each / Case|||||||||<ul><li>Patient comfort and easy visual assessment with clear, soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||10197344011612|Z1|0.060LB, 0.021CF PER CS|0.157 |LB|HUD1000|
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|SN044|O2 MASK,REBREATH,ADULT,7' TUB SC,OUS|MEDLINE|1007|0.000EA|1.000CS|101.18 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/100/1007_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear, soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.100LB, 0.030CF PER CS|0.190 |LB|HUD1007|
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|SN043|O2 MASK,REBREATH,SHORT,AD,7' TUB SC,OUS|MEDLINE|1009|0.000EA|1.000CS|392.64 |A4620|RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/100/1009_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear, soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.189LB, 0.029CF PER CS|0.189 |LB|HUD1009|
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|SN042|O2 MASK,REBREATH,PEDI,7' TUB SC,OUS|MEDLINE|1011|0.000EA|1.000CS|235.91 |A4620|RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/101/1011_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear, soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.150LB, 0.030CF PER CS|0.150 |LB|HUD1011|
Respiratory|Oxygen Therapy|Medium-Concentration Oxygen Masks by Tel|1035|O2 MASK,MED CONC,SHORT,PED,7' TUB SC,OUS|MEDLINE|1035|0.000EA|1.000CS|88.27 |A4620|RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/103/1035_PRI01.JPG|||<ul><li> Soft vinyl face piece and oxygen inlet with barbed barrel designed to firmly grasp oxygenline</li><li> Adjustable nose clip for comfortable fit</li><li> Wide elastic band to fit a variety of headsizes</li></ul>||35|||||||||0.019LB, 0.025CF PER CS|0.019 |LB|HUD1035|
Respiratory|Oxygen Therapy|Medium-Concentration Oxygen Masks by Tel|1040|O2 MASK,MED CONC,SHORT,AD,7' TUB SC,OUS|MEDLINE|1040|0.000EA|1.000CS|97.51 |A4620|RV||||EA|CS|50 Each / Case , 1 Carton / Case||||||http://www.medline.com/media/catalog/sku/104/1040_PRI01.JPG|||<ul><li> Soft vinyl face piece and oxygen inlet with barbed barrel designed to firmly grasp oxygenline</li><li> Adjustable nose clip for comfortable fit</li><li> Wide elastic band to fit a variety of headsizes</li></ul>||35|||||||||0.001 LB, CF PER CS|0.169 |LB|HUD1040|
Excluded Items|European/International Items|European/International Items|1041|MASK,OXYGEN,UND CHIN,MED CONC ADULT,OUS|TELEFLEX MEDICAL|1041|0.000PAK|1.000CS|53.73 ||RV|||Yes|PK|CS|50 Each / Case , 50 Pack / Case|||||||||||35|||||||||0.001LB, 0.027CF PER CS|0.001 |LB|1041              |
